compnumber,longname,shortname,status,countrycode,region,cik,mic,ticker,exchange,country
81095,"Maanshan Iron & Steel Co., Ltd.","Maanshan Iron & Steel Co., L",Active,CHN,Asia Pacific,,8.2.3,MAAN F,NBB,CHN
78653,Newfield Exploration Co,Newfield Exploration Co,Active,USA,North America,912750.0,9.1.1,NFX,NYS,USA
78094,Banco De Sabadell SA,Banco De Sabadell SA,Active,ESP,Europe,,5.1.1,BNDS Y,NBB,ESP
78107,"Ogaki Kyoritsu Bank, Ltd.","Ogaki Kyoritsu Bank, Ltd.",Active,JPN,Asia Pacific,,5.1.1,8361,TOK,JPN
78314,Deckers Outdoor Corp.,Deckers Outdoor Corp.,Active,USA,North America,910521.0,1.4.2,DECK,NYS,USA
78178,"77 Bank, Ltd. (The) (Japan)","77 Bank, Ltd. (The) (Japan)",Active,JPN,Asia Pacific,,5.1.1,8341,TOK,JPN
78524,Schnitzer Steel Industries Inc,Schnitzer Steel Industries I,Active,USA,North America,912603.0,8.2.2,SCHN,NMS,USA
78196,CIR S.p.A. - Compagnie Industriali Riunite,CIR S.p.A. - Compagnie Indus,Active,ITA,Europe,,2.3.3,,NL,ITA
78197,CIR Compagnie Industriali Riunite SpA,CIR SpA,Active,ITA,Europe,1507112.0,5.6.3,0MHA,LON,ITA
78555,West Marine Inc,West Marine Inc,Active,USA,North America,912833.0,2.1.3,WMAR,NMS,USA
67265,Ultra Petroleum Corp,Ultra Petroleum Corp,Active,CAN,North America,1022646.0,9.1.1,UPLC Q,NBB,USA
78457,UFP Industries Inc,UFP Industries Inc,Active,USA,North America,912767.0,8.2.3,UFPI,NMS,USA
78395,CBL & Associates Properties Inc,CBL & Associates Properties Inc,Active,USA,North America,910612.0,5.3.1,CBLA Q,NBB,USA
77249,Eramet,Eramet,Active,FRA,Europe,,8.2.2,ERMA Y,NBB,FRA
79288,Mid-America Apartment Communities Inc,MAA,Active,USA,North America,912595.0,5.3.1,MAA,NYS,USA
3073,"First Financial Bankshares, Inc.","First Financial Bankshares,",Active,USA,North America,36029.0,5.1.1,FFIN,NMS,USA
87654,Theratechnologies Inc,Theratechnologies Inc,Active,CAN,North America,1512717.0,4.1.2,THTX,NAS,CAN
16055,Wheelock & Co Ltd,Wheelock & Co Ltd,Active,HKG,Asia Pacific,,5.3.2,WHLK Y,NBB,HKG
88074,ATS Automation Tooling Systems Inc,ATS Automation Tooling Syste,Active,CAN,North America,,7.2.1,ATA,TSX,CAN
78362,Berjaya Sports Toto Berhad (Malaysia),Berjaya Sports Toto Berhad (M,Active,MYS,Asia Pacific,,2.2.4,,NL,MYS
79029,Cascade Bancorp,Cascade Bancorp,Active,USA,North America,865911.0,5.1.1,CACB,NAS,USA
79086,"Plantronics, Inc.","Plantronics, Inc. (New)",Active,USA,North America,914025.0,6.1.1,PLT,NYS,USA
78776,"Southwest Bancorp, Inc. (OK)","Southwest Bancorp, Inc. (OK)",Active,USA,North America,914374.0,5.1.1,OKSB,NMS,USA
16582,Tesco Corp,Tesco Corp,Active,CAN,North America,1022705.0,9.1.3,TESO,NMS,USA
62357,3D Systems Corp. (DE),3D Systems Corp. (DE),Active,USA,North America,910638.0,6.3.2,DDD,NYS,USA
85566,FEI Co,FEI Co,Active,USA,North America,914329.0,6.2.3,FEIC,NMS,USA
15343,NTN Corp (Japan),NTN Corp (Japan),Active,JPN,Asia Pacific,,7.2.1,6472,TOK,JPN
79171,"Mobile Mini, Inc.","Mobile Mini, Inc.",Active,USA,North America,911109.0,7.5.2,MINI,NMS,USA
5517,Entergy Corp,Entergy Corp. (New),Active,USA,North America,65984.0,3.1.1,ETR,NYS,USA
78449,Orbia Advance Corp SAB De CV,Orbia Advance Corp SAB De CV,Active,MEX,North America,,8.3.1,MXCH Y,NBB,MEX
79353,Macerich Co (The),Macerich Co (The),Active,USA,North America,912242.0,5.3.1,MAC,NYS,USA
78622,Astoria Financial Corp,Astoria Financial Corp,Active,USA,North America,910322.0,5.4.1,AF,NYS,USA
78464,Yue Yuen Industrial (Holdings) Ltd.,Yue Yuen Industrial (Holding,Active,BMU,Latin America,,1.4.2,,NL,HKG
78732,Madden (Steven) Ltd.,Madden (Steven) Ltd.,Active,USA,North America,913241.0,1.4.2,SHOO,NMS,USA
78568,ParkerVision Inc,ParkerVision Inc,Active,USA,North America,914139.0,6.1.1,PRKR,NAS,USA
63156,Imperial Logistics Limited,Imperial Logistics Limited,Active,ZAF,Africa,,7.4.4,,NL,ZAF
78694,Sun Communities Inc,Sun Communities Inc,Active,USA,North America,912593.0,5.3.1,SUI,NYS,USA
78533,Orient Overseas (International) Ltd.,Orient Overseas (Internation,Active,BMU,Latin America,,7.4.2,OROV F,NBB,HKG
78987,Sinclair Broadcast Group Inc,Sinclair Broadcast Group Inc,Active,USA,North America,912752.0,2.3.1,SBGI,NMS,USA
78921,Eastman Chemical Co,Eastman Chemical Co,Active,USA,North America,915389.0,8.4.2,EMN,NYS,USA
78769,UFP Technologies Inc.,UFP Technologies Inc.,Active,USA,North America,914156.0,8.1.3,UFPT,NAS,USA
79190,"Martin Marietta Materials, Inc.","Martin Marietta Materials, I",Active,USA,North America,916076.0,8.5.1,MLM,NYS,USA
78757,Societa pel Risanamento di Napoli S.p.A (Italy),Societa pel Risanamento di N,Active,ITA,Europe,,2.2.5,,,ITA
60120,Hallmark Financial Services Inc.,Hallmark Financial Services,Active,USA,North America,819913.0,5.2.1,HALL,NMS,USA
11773,Millicom International Cellular SA,Millicom International Cellu,Active,LUX,Europe,912958.0,6.1.2,TIGO,NMS,LUX
79344,Albemarle Corp.,Albemarle Corp.,Active,USA,North America,915913.0,8.3.2,ALB,NYS,USA
79012,"Celadon Group, Inc.","Celadon Group, Inc.",Active,USA,North America,865941.0,7.4.1,CGI,NYS,USA
79578,Agree Realty Corp.,Agree Realty Corp.,Active,USA,North America,917251.0,5.3.1,ADC,NYS,USA
79188,Calpine Corp,Calpine Corp,Active,USA,North America,916457.0,3.1.1,CPN,NYS,USA
12960,Rayonier Inc.,Rayonier Inc.,Active,USA,North America,52827.0,5.3.1,RYN,NYS,USA
79301,BioCryst Pharmaceuticals Inc,BioCryst Pharmaceuticals Inc,Active,USA,North America,882796.0,4.1.2,BCRX,NMS,USA
79213,"Beazer Homes USA, Inc.","Beazer Homes USA, Inc.",Active,USA,North America,915840.0,2.2.5,BZH,NYS,USA
78949,Phoenix Mecano AG (Switzerland),Phoenix Mecano AG (Switzerlan,Active,CHE,Europe,,7.3.1,,NL,CHE
6964,United States Lime & Minerals Inc.,United States Lime & Mineral,Active,USA,North America,82020.0,8.2.4,USLM,NMS,USA
78986,Grasim Industries Ltd (India),Grasim Industries Ltd (India,Active,IND,Asia Pacific,,8.5.1,GRSX Y,NBB,IND
78991,Farstad Shipping ASA (Norway),Farstad Shipping ASA (Norway),Active,NOR,Europe,,9.1.3,,NL,NOR
78996,Protector Forsikring ASA,Protector Forsikring ASA,Active,NOR,Europe,,5.2.1,PSKR F,NBB,NOR
79020,Ganger Rolf ASA (Norway),Ganger Rolf ASA (Norway),Active,NOR,Europe,,9.1.1,,NL,NOR
79022,Arbonia AG,Arbonia AG,Active,CHE,Europe,,1.5.1,0QKR,LON,CHE
79228,QLogic Corp.,QLogic Corp.,Active,USA,North America,918386.0,6.2.2,QLGC,NMS,USA
80687,Great Eastern Shipping Co Ltd,Great Eastern Shipping Co Lt,Active,IND,Asia Pacific,,7.4.2,GESG F,NBB,IND
79060,Schibsted ASA,Schibsted ASA,Active,NOR,Europe,,2.3.3,SBBT F,NBB,NOR
79419,Copart Inc,Copart Inc,Active,USA,North America,900075.0,7.5.2,CPRT,NMS,USA
79145,"DSP Group, Inc.","DSP Group, Inc.",Active,USA,North America,915778.0,6.2.4,DSPG,NMS,USA
79127,Daktronics Inc.,Daktronics Inc.,Active,USA,North America,915779.0,6.2.3,DAKT,NMS,USA
79186,Tractor Supply Co.,Tractor Supply Co.,Active,USA,North America,916365.0,2.1.3,TSCO,NMS,USA
36847,"Cardinal Health, Inc.","Cardinal Health, Inc.",Active,USA,North America,721371.0,4.1.1,CAH,NYS,USA
14244,Souza Cruz S.A.,Souza Cruz S.A.,Active,BRA,Latin America,,1.3.1,,,BRA
82354,Hana Microelectronics Public Co Ltd,Hana Microelectronics Public,Active,THA,Asia Pacific,,7.3.1,HMIC F,NBB,THA
79121,Lem Holding SA Plan Les Ouates,Lem Holding SA Plan Les Ouat,Active,CHE,Europe,,6.2.3,LMHD F,NBB,CHE
4050,Helen of Troy Ltd.,Helen of Troy Ltd.,Active,BMU,Latin America,916789.0,1.5.1,HELE,NMS,BMU
79381,CIBER Inc,CIBER Inc,Active,USA,North America,918581.0,6.3.1,CBRI Q,NBB,USA
79167,National Express Group Plc,National Express Group Plc (,Active,GBR,Europe,1455632.0,7.4.5,NEX,LON,GBR
7652,KeyCorp,KeyCorp,Active,USA,North America,91576.0,5.1.1,KEY,NYS,USA
91859,FARO Technologies Inc.,FARO Technologies Inc.,Active,USA,North America,917491.0,6.2.3,FARO,NMS,USA
2462,Goldcorp Inc,Goldcorp Inc,Active,CAN,North America,919239.0,8.2.1,GG,NYS,CAN
79458,AK Steel Holding Corp.,AK Steel Holding Corp.,Active,USA,North America,918160.0,8.2.2,AKS,NYS,USA
79219,Silicom Ltd.,Silicom Ltd.,Active,ISR,Middle East,916793.0,6.3.1,SILC,NMS,ISR
21,Akzo Nobel NV (Netherlands),AkzoNobel NV (Netherlands),Active,NLD,Europe,3124.0,8.3.2,AKZO Y,NBB,NLD
17585,Taro Pharmaceutical Industries Ltd.,Taro Pharmaceutical Industri,Active,ISR,Middle East,906338.0,4.1.1,TARO,NYS,ISR
79240,Singapore Telecommunications Ltd,Singapore Telecommunications,Active,SGP,Asia Pacific,1005141.0,6.1.2,Z74,SIN,SGP
79412,"ScanSource, Inc.","ScanSource, Inc.",Active,USA,North America,918965.0,6.2.1,SCSC,NMS,USA
79368,Olympic Steel Inc.,Olympic Steel Inc.,Active,USA,North America,917470.0,8.2.2,ZEUS,NMS,USA
85260,Robinson Public Co Ltd,Robinson Public Co Ltd,Active,THA,Asia Pacific,1548928.0,2.1.1,RDSP Y,NBB,THA
315,"ABM Industries, Inc.","ABM Industries, Inc.",Active,USA,North America,771497.0,7.5.3,ABM,NYS,USA
6345,"Owens & Minor, Inc.","Owens & Minor, Inc. (New)",Active,USA,North America,75252.0,4.3.1,OMI,NYS,USA
79896,ARIAD Pharmaceuticals Inc,ARIAD Pharmaceuticals Inc,Active,USA,North America,884731.0,4.1.2,ARIA,NMS,USA
79358,SOGEFI S.p.A.,SOGEFI S.p.A.,Active,ITA,Europe,,1.8.2,,NL,ITA
74203,Fomento de Construcciones y Contratas SA,Fomento de Construcciones y,Active,ESP,Europe,,7.5.4,,NL,ESP
79386,Flex Ltd,Flex Ltd,Active,SGP,Asia Pacific,866374.0,7.3.1,FLEX,NMS,SGP
79394,Spir Communication S.A.,Spir Communication S.A.,Active,FRA,Europe,,2.3.3,,NL,FRA
82934,Shaw Communications Inc,Shaw Communications Inc,Active,CAN,North America,932872.0,2.3.1,SJR,NYS,CAN
94836,SM Prime Holdings Inc.,SM Prime Holdings Inc.,Active,PHL,Asia Pacific,,5.3.2,,NL,PHL
8593,UMB Financial Corp,UMB Financial Corp,Active,USA,North America,101382.0,5.1.1,UMBF,NMS,USA
79940,Essex Property Trust Inc,Essex Property Trust Inc,Active,USA,North America,920522.0,5.3.1,ESS,NYS,USA
91679,Mayr-Melnhof Karton AG,Mayr Melnhof Karton AG,Active,AUT,Europe,,8.1.3,MNHF F,NBB,AUT
82287,Numerex Corp (PA),Numerex Corp (PA),Active,USA,North America,870753.0,6.3.2,NMRX,NMS,USA
79633,Huntsman Corp,Huntsman Corp,Active,USA,North America,1307954.0,8.3.2,HUN,NYS,USA
79522,Vivus Inc,Vivus Inc,Active,USA,North America,881524.0,4.1.1,VVUS,NMS,USA
90076,Cholamandalam Financial Holdings Ltd,Cholamandalam Financial Hold,Active,IND,Asia Pacific,,5.2.1,TIOI F,NBB,IND
60563,AirBoss of America Corp,AirBoss of America Corp,Active,CAN,North America,,8.4.1,BOS,TSX,CAN
82217,Philippine National Bank,Philippine National Bank,Active,PHL,Asia Pacific,,5.1.1,,NL,PHL
52460,Carnival Corp,Carnival Corp,Active,PAN,Latin America,815097.0,2.2.1,CCL,NYS,USA
19722,Sandy Spring Bancorp Inc,Sandy Spring Bancorp Inc,Active,USA,North America,824410.0,5.1.1,SASR,NMS,USA
80299,Penn National Gaming Inc,Penn National Gaming Inc,Active,USA,North America,921738.0,2.2.1,PENN,NMS,USA
27883,Companhia Paranaense De Energia - COPEL,Companhia Paranaense De Ener,Active,BRA,Latin America,924250.0,3.1.1,ELP,NYS,BRA
79683,Banco do Estado do Rio Grande do Sul S.A.,Banco Estado do Rio Grande d,Active,BRA,Latin America,,5.1.1,,,BRA
